계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20060129,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
20060130,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
20060131,12.0,12.0,1.0,18.0,11.0,4.0,6.0,5.0,13.0,4.0,5.0,5.0,6.0,1.0,13.0,6.0,4.0,13.0,13.0,7.0,12.0,1.0,1.0,2.0,5.0,180.0
20060201,22.0,11.0,4.0,15.0,3.0,5.0,8.0,10.0,25.0,22.0,1.0,7.0,14.0,2.0,22.0,14.0,9.0,24.0,28.0,11.0,8.0,8.0,1.0,2.0,3.0,279.0
20060202,24.0,19.0,7.0,17.0,6.0,4.0,12.0,6.0,32.0,12.0,4.0,5.0,6.0,3.0,17.0,7.0,3.0,18.0,19.0,16.0,11.0,3.0,3.0,2.0,4.0,260.0
20060203,18.0,9.0,3.0,21.0,2.0,9.0,17.0,4.0,28.0,13.0,9.0,3.0,4.0,0.0,12.0,5.0,7.0,20.0,20.0,16.0,8.0,3.0,0.0,0.0,3.0,234.0
20060204,23.0,10.0,2.0,22.0,8.0,15.0,7.0,5.0,18.0,17.0,7.0,7.0,8.0,2.0,16.0,16.0,8.0,17.0,20.0,8.0,9.0,2.0,0.0,4.0,4.0,255.0
20060205,3.0,3.0,2.0,1.0,5.0,2.0,7.0,2.0,5.0,0.0,2.0,8.0,4.0,2.0,10.0,1.0,5.0,5.0,2.0,6.0,3.0,3.0,1.0,0.0,3.0,85.0
20060206,17.0,8.0,1.0,21.0,17.0,7.0,13.0,6.0,32.0,16.0,6.0,11.0,8.0,3.0,19.0,7.0,4.0,14.0,26.0,13.0,7.0,7.0,1.0,3.0,7.0,274.0
20060207,14.0,14.0,3.0,14.0,12.0,7.0,9.0,3.0,26.0,14.0,9.0,10.0,5.0,6.0,23.0,8.0,9.0,21.0,13.0,12.0,7.0,7.0,0.0,3.0,7.0,256.0
20060208,18.0,9.0,4.0,14.0,14.0,4.0,16.0,4.0,30.0,13.0,9.0,8.0,4.0,5.0,16.0,12.0,12.0,25.0,16.0,11.0,7.0,7.0,2.0,3.0,4.0,267.0
20060209,20.0,7.0,3.0,17.0,16.0,12.0,10.0,5.0,36.0,14.0,6.0,11.0,5.0,2.0,16.0,12.0,8.0,21.0,16.0,9.0,4.0,2.0,1.0,0.0,5.0,258.0
20060210,29.0,10.0,6.0,8.0,10.0,6.0,11.0,4.0,39.0,15.0,6.0,13.0,6.0,5.0,22.0,12.0,6.0,14.0,19.0,15.0,6.0,3.0,2.0,1.0,4.0,272.0
20060211,27.0,17.0,3.0,16.0,15.0,14.0,16.0,2.0,41.0,19.0,6.0,9.0,8.0,3.0,21.0,7.0,23.0,22.0,31.0,11.0,8.0,4.0,0.0,1.0,8.0,332.0
20060212,2.0,10.0,1.0,5.0,14.0,5.0,9.0,3.0,6.0,4.0,0.0,5.0,4.0,2.0,4.0,1.0,7.0,4.0,4.0,11.0,1.0,1.0,1.0,2.0,4.0,110.0
20060213,30.0,13.0,3.0,19.0,7.0,3.0,22.0,2.0,28.0,12.0,9.0,16.0,7.0,4.0,29.0,6.0,14.0,21.0,25.0,16.0,5.0,8.0,0.0,3.0,6.0,308.0
20060214,31.0,12.0,3.0,22.0,11.0,7.0,20.0,4.0,36.0,14.0,7.0,14.0,10.0,7.0,12.0,10.0,7.0,15.0,31.0,15.0,7.0,6.0,6.0,3.0,7.0,317.0
20060215,32.0,15.0,9.0,23.0,14.0,4.0,14.0,9.0,29.0,13.0,7.0,16.0,16.0,3.0,22.0,10.0,6.0,21.0,22.0,14.0,8.0,12.0,2.0,4.0,14.0,339.0
20060216,45.0,13.0,2.0,9.0,4.0,8.0,22.0,5.0,34.0,17.0,9.0,7.0,6.0,5.0,20.0,8.0,9.0,22.0,18.0,14.0,6.0,5.0,2.0,1.0,4.0,295.0
20060217,33.0,13.0,2.0,14.0,16.0,11.0,6.0,8.0,23.0,8.0,8.0,11.0,7.0,5.0,18.0,8.0,10.0,26.0,22.0,12.0,8.0,6.0,2.0,3.0,7.0,287.0
20060218,27.0,21.0,3.0,22.0,12.0,16.0,29.0,6.0,41.0,18.0,3.0,18.0,18.0,2.0,21.0,10.0,11.0,28.0,28.0,19.0,8.0,7.0,0.0,1.0,6.0,375.0
20060219,10.0,1.0,1.0,4.0,10.0,0.0,14.0,1.0,9.0,2.0,2.0,9.0,4.0,0.0,10.0,3.0,5.0,10.0,13.0,9.0,2.0,3.0,1.0,2.0,2.0,127.0
20060220,47.0,27.0,7.0,23.0,16.0,7.0,26.0,7.0,48.0,21.0,8.0,17.0,13.0,9.0,23.0,12.0,9.0,23.0,29.0,24.0,8.0,4.0,2.0,2.0,16.0,428.0
20060221,38.0,17.0,9.0,22.0,12.0,3.0,21.0,4.0,29.0,18.0,13.0,10.0,10.0,8.0,20.0,12.0,9.0,27.0,30.0,20.0,7.0,4.0,0.0,1.0,8.0,352.0
20060222,26.0,17.0,3.0,31.0,9.0,4.0,14.0,7.0,30.0,10.0,12.0,21.0,13.0,7.0,20.0,18.0,11.0,22.0,32.0,8.0,7.0,4.0,1.0,2.0,11.0,340.0
20060223,29.0,16.0,2.0,24.0,7.0,1.0,15.0,8.0,39.0,10.0,5.0,18.0,9.0,7.0,27.0,18.0,10.0,23.0,30.0,11.0,9.0,4.0,0.0,5.0,4.0,331.0
20060224,29.0,19.0,5.0,20.0,10.0,7.0,11.0,6.0,28.0,14.0,4.0,13.0,4.0,4.0,25.0,9.0,9.0,36.0,39.0,9.0,11.0,4.0,4.0,1.0,7.0,328.0
20060225,26.0,15.0,3.0,27.0,16.0,10.0,26.0,12.0,29.0,14.0,5.0,15.0,10.0,1.0,28.0,12.0,15.0,41.0,32.0,23.0,12.0,4.0,0.0,2.0,7.0,385.0
20060226,5.0,2.0,3.0,3.0,16.0,3.0,12.0,7.0,6.0,1.0,4.0,5.0,6.0,3.0,12.0,6.0,4.0,12.0,14.0,6.0,3.0,4.0,0.0,0.0,8.0,145.0
20060227,28.0,18.0,5.0,28.0,14.0,10.0,20.0,7.0,35.0,17.0,15.0,9.0,12.0,8.0,33.0,9.0,13.0,31.0,27.0,25.0,7.0,8.0,6.0,1.0,9.0,395.0
20060228,37.0,11.0,4.0,18.0,11.0,9.0,18.0,5.0,37.0,11.0,8.0,12.0,8.0,5.0,23.0,6.0,9.0,31.0,26.0,20.0,17.0,3.0,0.0,5.0,9.0,343.0
20060301,26.0,35.0,7.0,25.0,19.0,14.0,41.0,6.0,54.0,19.0,13.0,25.0,24.0,12.0,25.0,18.0,14.0,36.0,32.0,16.0,8.0,4.0,2.0,1.0,13.0,489.0
