계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20070403,10.0,13.0,6.0,11.0,7.0,4.0,8.0,4.0,25.0,20.0,10.0,4.0,3.0,6.0,7.0,2.0,8.0,3.0,11.0,4.0,6.0,9.0,1.0,1.0,10.0,193.0
20070404,9.0,9.0,5.0,7.0,3.0,1.0,8.0,5.0,33.0,14.0,13.0,0.0,7.0,1.0,2.0,4.0,6.0,3.0,8.0,7.0,4.0,2.0,1.0,1.0,13.0,166.0
20070405,6.0,5.0,2.0,11.0,4.0,2.0,12.0,3.0,28.0,7.0,10.0,5.0,8.0,5.0,5.0,3.0,4.0,4.0,6.0,8.0,3.0,6.0,1.0,1.0,13.0,162.0
20070406,6.0,4.0,6.0,9.0,7.0,1.0,6.0,1.0,27.0,13.0,8.0,2.0,5.0,7.0,7.0,7.0,8.0,2.0,6.0,8.0,4.0,7.0,1.0,1.0,12.0,165.0
20070407,6.0,8.0,9.0,14.0,5.0,6.0,11.0,7.0,36.0,15.0,8.0,6.0,6.0,9.0,2.0,3.0,7.0,6.0,9.0,9.0,4.0,4.0,1.0,1.0,10.0,202.0
20070408,0.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,4.0,42.0
20070409,4.0,10.0,2.0,13.0,4.0,4.0,7.0,6.0,37.0,12.0,8.0,7.0,6.0,6.0,2.0,7.0,4.0,6.0,6.0,5.0,6.0,2.0,1.0,0.0,9.0,174.0
20070410,10.0,11.0,3.0,10.0,7.0,5.0,16.0,3.0,29.0,21.0,9.0,1.0,7.0,12.0,7.0,3.0,6.0,7.0,9.0,10.0,2.0,8.0,1.0,2.0,11.0,210.0
20070411,7.0,12.0,2.0,9.0,5.0,1.0,3.0,2.0,29.0,15.0,7.0,2.0,5.0,8.0,2.0,3.0,8.0,4.0,6.0,6.0,2.0,4.0,3.0,2.0,10.0,157.0
20070412,8.0,5.0,10.0,11.0,7.0,5.0,6.0,3.0,32.0,16.0,13.0,4.0,1.0,4.0,5.0,3.0,6.0,3.0,6.0,9.0,2.0,3.0,0.0,3.0,4.0,169.0
20070413,2.0,6.0,5.0,12.0,10.0,3.0,11.0,6.0,21.0,16.0,9.0,5.0,5.0,14.0,9.0,3.0,4.0,7.0,4.0,7.0,7.0,7.0,1.0,2.0,12.0,188.0
20070414,3.0,9.0,5.0,10.0,4.0,1.0,4.0,1.0,32.0,14.0,9.0,4.0,6.0,7.0,1.0,4.0,6.0,6.0,5.0,3.0,3.0,1.0,2.0,1.0,15.0,156.0
20070415,1.0,1.0,2.0,2.0,5.0,1.0,11.0,0.0,3.0,4.0,5.0,4.0,3.0,6.0,1.0,1.0,4.0,1.0,5.0,3.0,4.0,3.0,0.0,0.0,4.0,74.0
20070416,5.0,10.0,5.0,8.0,7.0,1.0,16.0,4.0,39.0,12.0,7.0,3.0,9.0,4.0,6.0,5.0,10.0,8.0,4.0,4.0,4.0,3.0,4.0,2.0,10.0,190.0
20070417,6.0,3.0,4.0,12.0,2.0,2.0,9.0,6.0,32.0,24.0,10.0,4.0,6.0,9.0,5.0,6.0,7.0,5.0,5.0,4.0,7.0,9.0,0.0,3.0,17.0,197.0
20070418,8.0,10.0,3.0,5.0,2.0,2.0,6.0,2.0,25.0,9.0,7.0,0.0,5.0,10.0,3.0,3.0,6.0,4.0,7.0,9.0,3.0,3.0,2.0,1.0,11.0,146.0
20070419,1.0,10.0,2.0,7.0,3.0,0.0,5.0,1.0,29.0,14.0,7.0,2.0,2.0,7.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,8.0,3.0,4.0,7.0,136.0
20070420,4.0,6.0,5.0,9.0,1.0,1.0,10.0,5.0,31.0,11.0,12.0,4.0,7.0,4.0,8.0,5.0,6.0,6.0,7.0,8.0,5.0,8.0,2.0,1.0,15.0,181.0
20070421,8.0,8.0,4.0,8.0,5.0,3.0,8.0,3.0,21.0,12.0,8.0,2.0,6.0,10.0,2.0,2.0,7.0,5.0,2.0,8.0,6.0,5.0,0.0,1.0,12.0,156.0
20070422,0.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,38.0
20070423,4.0,14.0,2.0,1.0,3.0,4.0,12.0,7.0,23.0,6.0,2.0,2.0,4.0,7.0,3.0,4.0,6.0,3.0,8.0,6.0,1.0,6.0,0.0,3.0,9.0,140.0
20070424,9.0,3.0,4.0,6.0,2.0,4.0,6.0,3.0,31.0,15.0,6.0,4.0,4.0,13.0,5.0,1.0,9.0,4.0,2.0,2.0,1.0,5.0,2.0,3.0,16.0,160.0
20070425,7.0,3.0,2.0,9.0,8.0,2.0,7.0,4.0,30.0,14.0,15.0,4.0,3.0,10.0,8.0,3.0,7.0,4.0,10.0,4.0,5.0,4.0,2.0,0.0,13.0,178.0
20070426,9.0,7.0,6.0,3.0,3.0,0.0,8.0,4.0,24.0,13.0,1.0,8.0,3.0,5.0,3.0,1.0,8.0,6.0,5.0,8.0,3.0,6.0,0.0,1.0,9.0,144.0
20070427,5.0,7.0,6.0,6.0,7.0,1.0,7.0,0.0,26.0,9.0,4.0,3.0,1.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,3.0,7.0,0.0,2.0,8.0,140.0
20070428,5.0,4.0,2.0,6.0,3.0,1.0,3.0,1.0,18.0,8.0,4.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,5.0,8.0,2.0,8.0,0.0,2.0,3.0,101.0
20070429,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,31.0
20070430,11.0,11.0,10.0,7.0,6.0,2.0,6.0,5.0,28.0,18.0,7.0,2.0,4.0,5.0,6.0,5.0,8.0,5.0,7.0,2.0,5.0,5.0,0.0,1.0,8.0,174.0
20070501,13.0,5.0,12.0,8.0,5.0,4.0,7.0,1.0,27.0,11.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,8.0,5.0,8.0,1.0,8.0,1.0,0.0,9.0,166.0
20070502,8.0,8.0,7.0,3.0,6.0,2.0,2.0,3.0,21.0,10.0,6.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,4.0,6.0,4.0,3.0,1.0,0.0,8.0,125.0
20070503,5.0,5.0,3.0,4.0,4.0,0.0,9.0,1.0,23.0,6.0,2.0,4.0,5.0,8.0,3.0,1.0,5.0,6.0,4.0,9.0,4.0,4.0,1.0,0.0,5.0,121.0
20070504,8.0,11.0,4.0,6.0,4.0,0.0,7.0,3.0,25.0,12.0,4.0,4.0,3.0,1.0,5.0,5.0,8.0,5.0,6.0,2.0,4.0,4.0,1.0,0.0,6.0,138.0
20070505,4.0,6.0,0.0,2.0,5.0,1.0,8.0,0.0,11.0,6.0,5.0,6.0,0.0,4.0,0.0,2.0,7.0,4.0,3.0,6.0,2.0,1.0,0.0,1.0,7.0,91.0
20070506,2.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,42.0
20070507,7.0,8.0,4.0,11.0,3.0,2.0,9.0,1.0,27.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,8.0,2.0,1.0,7.0,148.0
20070508,8.0,5.0,2.0,14.0,3.0,2.0,7.0,6.0,16.0,6.0,1.0,6.0,4.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,117.0
20070509,8.0,1.0,1.0,4.0,6.0,1.0,9.0,2.0,20.0,8.0,6.0,3.0,3.0,0.0,2.0,3.0,5.0,2.0,3.0,6.0,0.0,1.0,1.0,1.0,3.0,99.0
20070510,6.0,10.0,2.0,9.0,8.0,1.0,14.0,2.0,19.0,8.0,5.0,3.0,8.0,3.0,5.0,6.0,6.0,8.0,4.0,8.0,3.0,9.0,2.0,4.0,7.0,160.0
20070511,7.0,7.0,2.0,4.0,4.0,2.0,5.0,6.0,13.0,12.0,6.0,2.0,2.0,8.0,3.0,0.0,4.0,5.0,6.0,2.0,4.0,6.0,1.0,2.0,5.0,118.0
20070512,6.0,14.0,4.0,4.0,2.0,2.0,6.0,2.0,13.0,8.0,7.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,7.0,4.0,2.0,3.0,0.0,2.0,8.0,118.0
20070513,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,19.0
20070514,9.0,9.0,5.0,4.0,5.0,1.0,14.0,5.0,16.0,6.0,8.0,5.0,3.0,8.0,4.0,4.0,4.0,8.0,6.0,4.0,2.0,4.0,0.0,1.0,10.0,145.0
20070515,9.0,6.0,4.0,5.0,3.0,5.0,7.0,1.0,23.0,17.0,5.0,1.0,9.0,14.0,6.0,2.0,10.0,13.0,9.0,9.0,2.0,6.0,3.0,4.0,2.0,175.0
20070516,9.0,3.0,1.0,7.0,2.0,5.0,6.0,1.0,18.0,7.0,5.0,3.0,4.0,4.0,6.0,3.0,4.0,8.0,2.0,3.0,0.0,6.0,1.0,1.0,10.0,119.0
20070517,5.0,11.0,9.0,1.0,2.0,2.0,4.0,2.0,14.0,5.0,3.0,2.0,6.0,1.0,6.0,1.0,4.0,6.0,1.0,2.0,2.0,3.0,1.0,0.0,7.0,100.0
20070518,10.0,4.0,0.0,5.0,5.0,1.0,5.0,0.0,11.0,6.0,3.0,6.0,5.0,5.0,7.0,3.0,2.0,7.0,7.0,1.0,5.0,2.0,2.0,1.0,9.0,112.0
20070519,5.0,6.0,1.0,6.0,4.0,2.0,5.0,5.0,10.0,13.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0,8.0,2.0,5.0,3.0,2.0,1.0,0.0,8.0,111.0
20070520,5.0,1.0,0.0,5.0,3.0,1.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,4.0,1.0,3.0,4.0,59.0
20070521,10.0,9.0,4.0,6.0,9.0,2.0,9.0,4.0,19.0,10.0,2.0,6.0,4.0,4.0,2.0,3.0,2.0,8.0,8.0,5.0,4.0,5.0,3.0,3.0,6.0,147.0
20070522,9.0,7.0,5.0,5.0,1.0,0.0,8.0,4.0,16.0,6.0,4.0,3.0,1.0,10.0,4.0,3.0,6.0,5.0,6.0,11.0,3.0,2.0,0.0,0.0,7.0,126.0
20070523,5.0,2.0,3.0,5.0,5.0,2.0,7.0,4.0,10.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,7.0,3.0,2.0,5.0,0.0,3.0,3.0,0.0,11.0,103.0
20070524,2.0,2.0,1.0,3.0,2.0,0.0,6.0,4.0,19.0,4.0,5.0,2.0,0.0,4.0,5.0,1.0,7.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,6.0,86.0
20070525,2.0,6.0,3.0,3.0,7.0,0.0,14.0,9.0,19.0,11.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,11.0,10.0,3.0,7.0,4.0,2.0,1.0,9.0,147.0
20070526,5.0,2.0,3.0,6.0,4.0,1.0,1.0,4.0,9.0,6.0,4.0,1.0,4.0,5.0,5.0,2.0,8.0,6.0,4.0,3.0,0.0,7.0,0.0,1.0,4.0,95.0
20070527,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,31.0
20070528,11.0,8.0,2.0,9.0,6.0,7.0,10.0,2.0,26.0,10.0,9.0,2.0,7.0,6.0,4.0,3.0,5.0,7.0,4.0,3.0,1.0,3.0,0.0,1.0,8.0,154.0
20070529,15.0,2.0,6.0,7.0,5.0,2.0,9.0,3.0,15.0,9.0,5.0,1.0,8.0,7.0,3.0,2.0,6.0,4.0,3.0,6.0,5.0,4.0,1.0,0.0,7.0,135.0
20070530,10.0,6.0,6.0,14.0,4.0,3.0,7.0,3.0,17.0,14.0,13.0,3.0,6.0,7.0,6.0,3.0,3.0,6.0,6.0,9.0,4.0,7.0,0.0,0.0,5.0,162.0
20070531,11.0,15.0,2.0,8.0,8.0,2.0,5.0,0.0,14.0,9.0,6.0,2.0,3.0,1.0,10.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,0.0,0.0,10.0,139.0
20070601,6.0,6.0,1.0,9.0,4.0,2.0,10.0,4.0,19.0,7.0,7.0,3.0,4.0,5.0,5.0,4.0,4.0,7.0,6.0,6.0,1.0,4.0,2.0,1.0,5.0,132.0
20070602,10.0,5.0,5.0,11.0,7.0,2.0,12.0,5.0,32.0,5.0,6.0,2.0,7.0,9.0,4.0,6.0,4.0,11.0,3.0,6.0,4.0,4.0,1.0,1.0,10.0,172.0
20070603,0.0,4.0,0.0,0.0,6.0,1.0,1.0,3.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,37.0
20070604,12.0,11.0,1.0,11.0,11.0,1.0,7.0,8.0,23.0,3.0,1.0,1.0,8.0,6.0,8.0,4.0,9.0,4.0,8.0,7.0,2.0,1.0,0.0,1.0,13.0,161.0
20070605,6.0,8.0,7.0,10.0,6.0,0.0,5.0,5.0,22.0,15.0,6.0,5.0,6.0,9.0,4.0,3.0,4.0,8.0,6.0,2.0,2.0,7.0,0.0,1.0,9.0,156.0
20070606,10.0,10.0,2.0,12.0,2.0,3.0,6.0,2.0,36.0,11.0,6.0,5.0,3.0,12.0,4.0,2.0,5.0,13.0,2.0,4.0,2.0,3.0,1.0,3.0,10.0,169.0
20070607,13.0,8.0,4.0,8.0,7.0,2.0,8.0,4.0,25.0,14.0,6.0,3.0,3.0,6.0,6.0,3.0,7.0,12.0,8.0,2.0,2.0,6.0,5.0,4.0,11.0,177.0
20070608,16.0,16.0,5.0,4.0,7.0,1.0,8.0,3.0,21.0,13.0,5.0,2.0,6.0,7.0,7.0,2.0,9.0,4.0,7.0,6.0,4.0,4.0,0.0,0.0,5.0,162.0
20070609,6.0,12.0,5.0,10.0,5.0,3.0,4.0,4.0,33.0,13.0,5.0,3.0,6.0,8.0,6.0,4.0,5.0,10.0,14.0,5.0,3.0,6.0,0.0,1.0,5.0,176.0
20070610,3.0,2.0,1.0,2.0,5.0,2.0,4.0,0.0,0.0,2.0,6.0,6.0,2.0,2.0,7.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,62.0
20070611,18.0,15.0,1.0,5.0,8.0,6.0,15.0,3.0,36.0,17.0,5.0,8.0,6.0,9.0,12.0,5.0,9.0,8.0,5.0,8.0,3.0,8.0,0.0,1.0,9.0,220.0
20070612,13.0,11.0,15.0,8.0,6.0,0.0,11.0,5.0,29.0,13.0,4.0,7.0,3.0,7.0,12.0,5.0,6.0,6.0,7.0,6.0,1.0,6.0,2.0,2.0,14.0,199.0
20070613,12.0,9.0,4.0,9.0,4.0,4.0,6.0,8.0,28.0,9.0,5.0,1.0,3.0,7.0,5.0,9.0,2.0,10.0,9.0,1.0,3.0,3.0,1.0,2.0,14.0,168.0
20070614,6.0,14.0,4.0,6.0,4.0,1.0,8.0,0.0,32.0,6.0,6.0,1.0,6.0,2.0,6.0,2.0,7.0,10.0,10.0,6.0,3.0,9.0,0.0,0.0,5.0,154.0
20070615,8.0,14.0,2.0,9.0,4.0,4.0,12.0,3.0,26.0,16.0,9.0,6.0,7.0,6.0,11.0,5.0,8.0,16.0,9.0,8.0,2.0,6.0,1.0,2.0,8.0,202.0
20070616,17.0,15.0,6.0,10.0,11.0,3.0,4.0,6.0,45.0,16.0,8.0,3.0,6.0,7.0,6.0,7.0,13.0,23.0,4.0,12.0,8.0,8.0,1.0,1.0,12.0,252.0
20070617,1.0,1.0,1.0,4.0,6.0,0.0,7.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,44.0
20070618,13.0,15.0,4.0,10.0,8.0,2.0,13.0,5.0,35.0,11.0,7.0,7.0,5.0,16.0,8.0,7.0,8.0,4.0,10.0,8.0,11.0,6.0,3.0,1.0,12.0,229.0
20070619,18.0,6.0,2.0,8.0,5.0,3.0,14.0,8.0,23.0,10.0,6.0,4.0,3.0,6.0,6.0,5.0,11.0,9.0,3.0,9.0,0.0,1.0,2.0,2.0,9.0,173.0
20070620,14.0,19.0,5.0,9.0,9.0,5.0,9.0,4.0,28.0,13.0,3.0,8.0,6.0,5.0,8.0,9.0,9.0,7.0,7.0,7.0,3.0,10.0,0.0,1.0,7.0,205.0
20070621,10.0,12.0,2.0,7.0,4.0,4.0,16.0,3.0,21.0,13.0,2.0,4.0,5.0,2.0,4.0,3.0,9.0,8.0,5.0,3.0,1.0,5.0,1.0,0.0,5.0,149.0
20070622,15.0,10.0,4.0,4.0,2.0,2.0,10.0,6.0,30.0,4.0,4.0,2.0,6.0,8.0,6.0,4.0,6.0,16.0,10.0,4.0,2.0,4.0,0.0,5.0,7.0,171.0
20070623,16.0,11.0,3.0,9.0,10.0,2.0,10.0,1.0,45.0,17.0,4.0,5.0,10.0,6.0,5.0,4.0,7.0,14.0,6.0,12.0,0.0,7.0,0.0,2.0,13.0,219.0
20070624,1.0,1.0,1.0,2.0,3.0,1.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,47.0
20070625,8.0,8.0,8.0,9.0,9.0,2.0,14.0,3.0,39.0,14.0,12.0,5.0,8.0,5.0,8.0,7.0,6.0,12.0,8.0,7.0,5.0,3.0,2.0,1.0,16.0,219.0
20070626,8.0,8.0,2.0,7.0,6.0,2.0,9.0,1.0,34.0,20.0,9.0,11.0,5.0,5.0,5.0,7.0,3.0,4.0,10.0,9.0,4.0,7.0,2.0,1.0,9.0,188.0
20070627,8.0,7.0,2.0,3.0,4.0,6.0,8.0,0.0,27.0,15.0,6.0,7.0,6.0,8.0,5.0,4.0,8.0,10.0,4.0,5.0,4.0,10.0,2.0,0.0,9.0,168.0
20070628,9.0,8.0,2.0,7.0,2.0,2.0,10.0,3.0,44.0,11.0,8.0,7.0,4.0,6.0,3.0,2.0,5.0,5.0,7.0,7.0,0.0,5.0,0.0,2.0,11.0,170.0
20070629,13.0,10.0,0.0,17.0,5.0,2.0,6.0,4.0,35.0,19.0,4.0,6.0,11.0,4.0,6.0,7.0,6.0,9.0,8.0,4.0,2.0,6.0,1.0,2.0,10.0,197.0
20070630,6.0,10.0,7.0,15.0,10.0,2.0,15.0,4.0,36.0,21.0,8.0,9.0,8.0,5.0,2.0,4.0,9.0,10.0,6.0,8.0,5.0,4.0,0.0,1.0,17.0,222.0
20070701,1.0,2.0,0.0,2.0,4.0,0.0,2.0,1.0,9.0,2.0,3.0,5.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,6.0,61.0
20070702,16.0,7.0,9.0,14.0,9.0,4.0,16.0,4.0,49.0,23.0,10.0,9.0,4.0,6.0,5.0,8.0,13.0,11.0,18.0,8.0,2.0,3.0,0.0,2.0,16.0,266.0
20070703,10.0,34.0,4.0,9.0,6.0,4.0,8.0,6.0,34.0,18.0,5.0,9.0,10.0,10.0,6.0,7.0,10.0,9.0,7.0,10.0,2.0,7.0,2.0,3.0,9.0,239.0
20070704,17.0,7.0,2.0,10.0,10.0,2.0,12.0,3.0,29.0,17.0,7.0,11.0,3.0,10.0,10.0,2.0,16.0,11.0,12.0,6.0,5.0,10.0,0.0,4.0,17.0,233.0
20070705,11.0,8.0,5.0,11.0,4.0,1.0,17.0,6.0,39.0,22.0,5.0,6.0,6.0,6.0,14.0,8.0,11.0,10.0,19.0,8.0,2.0,6.0,3.0,1.0,12.0,241.0
20070706,12.0,4.0,3.0,11.0,7.0,4.0,12.0,3.0,33.0,15.0,10.0,14.0,13.0,9.0,15.0,4.0,10.0,8.0,11.0,8.0,2.0,8.0,5.0,2.0,6.0,229.0
20070707,9.0,12.0,6.0,15.0,13.0,5.0,19.0,2.0,51.0,16.0,10.0,12.0,6.0,5.0,6.0,7.0,9.0,7.0,16.0,9.0,3.0,10.0,2.0,1.0,15.0,266.0
20070708,1.0,6.0,0.0,2.0,2.0,2.0,4.0,1.0,7.0,4.0,2.0,2.0,2.0,5.0,5.0,1.0,5.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,64.0
20070709,12.0,9.0,6.0,11.0,10.0,7.0,13.0,5.0,33.0,19.0,12.0,4.0,12.0,5.0,8.0,2.0,11.0,10.0,7.0,12.0,1.0,8.0,1.0,1.0,18.0,237.0
20070710,8.0,8.0,11.0,12.0,10.0,1.0,24.0,5.0,38.0,22.0,9.0,6.0,16.0,4.0,5.0,6.0,11.0,7.0,8.0,11.0,5.0,4.0,1.0,1.0,13.0,246.0
20070711,11.0,6.0,5.0,12.0,4.0,3.0,13.0,1.0,30.0,22.0,4.0,5.0,10.0,2.0,5.0,4.0,5.0,11.0,5.0,8.0,1.0,7.0,4.0,2.0,11.0,191.0
20070712,12.0,10.0,2.0,12.0,5.0,1.0,7.0,1.0,29.0,14.0,9.0,4.0,8.0,9.0,1.0,5.0,7.0,7.0,11.0,4.0,2.0,5.0,2.0,1.0,11.0,179.0
20070713,5.0,10.0,4.0,10.0,9.0,2.0,5.0,4.0,27.0,12.0,5.0,3.0,7.0,5.0,7.0,5.0,10.0,9.0,6.0,8.0,3.0,11.0,0.0,1.0,17.0,185.0
20070714,11.0,8.0,3.0,12.0,8.0,4.0,9.0,4.0,44.0,16.0,7.0,11.0,6.0,4.0,3.0,3.0,7.0,9.0,10.0,6.0,3.0,4.0,1.0,0.0,11.0,204.0
20070715,1.0,5.0,1.0,3.0,2.0,0.0,0.0,3.0,9.0,4.0,4.0,3.0,4.0,4.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,7.0,0.0,3.0,6.0,73.0
20070716,12.0,5.0,2.0,15.0,8.0,2.0,14.0,4.0,33.0,20.0,5.0,2.0,8.0,7.0,7.0,5.0,13.0,3.0,8.0,9.0,5.0,3.0,0.0,0.0,8.0,198.0
20070717,10.0,11.0,4.0,9.0,13.0,3.0,14.0,4.0,50.0,18.0,7.0,9.0,5.0,9.0,5.0,5.0,5.0,9.0,6.0,8.0,4.0,1.0,2.0,2.0,10.0,223.0
20070718,17.0,5.0,7.0,16.0,11.0,4.0,7.0,3.0,29.0,8.0,15.0,8.0,7.0,8.0,8.0,11.0,8.0,8.0,12.0,10.0,2.0,7.0,2.0,3.0,7.0,223.0
20070719,15.0,8.0,6.0,6.0,6.0,1.0,13.0,2.0,31.0,14.0,5.0,2.0,11.0,8.0,5.0,6.0,14.0,5.0,8.0,3.0,1.0,2.0,0.0,1.0,11.0,184.0
20070720,10.0,10.0,9.0,7.0,7.0,3.0,10.0,4.0,35.0,16.0,12.0,6.0,4.0,10.0,8.0,1.0,6.0,8.0,9.0,11.0,7.0,5.0,1.0,5.0,10.0,214.0
20070721,7.0,12.0,6.0,11.0,4.0,7.0,12.0,2.0,30.0,14.0,6.0,3.0,13.0,3.0,2.0,7.0,11.0,10.0,11.0,10.0,3.0,5.0,1.0,1.0,6.0,197.0
20070722,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,1.0,0.0,4.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,6.0,1.0,1.0,6.0,59.0
20070723,13.0,9.0,6.0,8.0,5.0,0.0,10.0,7.0,35.0,16.0,5.0,5.0,5.0,10.0,5.0,2.0,6.0,7.0,6.0,5.0,6.0,5.0,0.0,1.0,9.0,186.0
20070724,8.0,8.0,4.0,11.0,8.0,3.0,10.0,6.0,26.0,17.0,5.0,3.0,11.0,6.0,6.0,5.0,7.0,5.0,9.0,9.0,2.0,5.0,1.0,2.0,17.0,194.0
20070725,16.0,9.0,3.0,7.0,6.0,3.0,12.0,7.0,29.0,16.0,4.0,8.0,11.0,6.0,7.0,7.0,8.0,7.0,9.0,8.0,3.0,8.0,1.0,0.0,18.0,213.0
20070726,6.0,5.0,4.0,9.0,7.0,2.0,14.0,3.0,24.0,19.0,10.0,6.0,8.0,7.0,5.0,2.0,2.0,13.0,7.0,6.0,4.0,5.0,1.0,3.0,8.0,180.0
20070727,11.0,6.0,7.0,11.0,4.0,3.0,11.0,2.0,25.0,16.0,3.0,2.0,7.0,6.0,8.0,6.0,7.0,3.0,4.0,7.0,3.0,4.0,1.0,1.0,5.0,163.0
20070728,6.0,14.0,5.0,4.0,3.0,4.0,7.0,2.0,37.0,19.0,5.0,10.0,9.0,5.0,2.0,3.0,8.0,8.0,8.0,6.0,2.0,3.0,0.0,0.0,13.0,183.0
20070729,3.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,7.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,6.0,42.0
20070730,8.0,14.0,11.0,10.0,6.0,1.0,13.0,0.0,26.0,26.0,1.0,8.0,6.0,11.0,4.0,3.0,12.0,11.0,4.0,13.0,3.0,9.0,0.0,3.0,5.0,208.0
20070731,5.0,6.0,4.0,5.0,5.0,4.0,10.0,6.0,37.0,9.0,6.0,8.0,9.0,8.0,7.0,1.0,5.0,10.0,4.0,6.0,6.0,7.0,4.0,2.0,11.0,185.0
20070801,6.0,6.0,5.0,14.0,2.0,2.0,5.0,2.0,32.0,16.0,6.0,4.0,7.0,7.0,5.0,5.0,4.0,6.0,5.0,10.0,5.0,3.0,3.0,0.0,7.0,167.0
20070802,6.0,3.0,5.0,6.0,8.0,2.0,3.0,6.0,18.0,4.0,11.0,4.0,5.0,8.0,6.0,4.0,11.0,7.0,7.0,5.0,3.0,11.0,0.0,1.0,3.0,147.0
20070803,9.0,7.0,2.0,6.0,5.0,1.0,4.0,1.0,16.0,6.0,5.0,6.0,9.0,2.0,1.0,4.0,8.0,9.0,4.0,11.0,3.0,1.0,1.0,2.0,6.0,129.0
20070804,4.0,6.0,1.0,4.0,4.0,5.0,6.0,1.0,11.0,1.0,3.0,4.0,5.0,2.0,7.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,7.0,96.0
20070805,3.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,50.0
20070806,6.0,8.0,6.0,13.0,11.0,3.0,11.0,4.0,34.0,14.0,6.0,8.0,2.0,2.0,7.0,1.0,10.0,4.0,10.0,4.0,6.0,5.0,2.0,1.0,9.0,187.0
20070807,7.0,9.0,4.0,8.0,4.0,3.0,10.0,5.0,32.0,12.0,9.0,5.0,5.0,10.0,4.0,1.0,4.0,5.0,7.0,8.0,2.0,4.0,0.0,1.0,11.0,170.0
20070808,8.0,10.0,4.0,10.0,6.0,4.0,13.0,2.0,35.0,17.0,4.0,0.0,3.0,3.0,7.0,4.0,4.0,1.0,10.0,6.0,1.0,7.0,1.0,4.0,5.0,169.0
