사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020040400100519,2020년 4월 4일 20시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,21세,경상,화물,남,28세,상해없음
2020041900100126,2020년 4월 19일 12시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 기타,기타,교차로 - 교차로부근,승용,남,38세,상해없음,이륜,남,35세,경상
2020050600100510,2020년 5월 6일 18시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승용,여,49세,경상
2020052100100583,2020년 5월 21일 21시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,이륜,남,42세,경상
2020052700100662,2020년 5월 27일 22시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,여,39세,경상
2020060100100172,2020년 6월 1일 10시,월요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,66세,상해없음,승용,여,63세,경상
2020061800100175,2020년 6월 18일 09시,목요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,특수,남,21세,상해없음,이륜,남,24세,경상
2020063000100116,2020년 6월 30일 08시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,여,32세,상해없음,승용,여,58세,경상
2020070700100387,2020년 7월 7일 17시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,21세,경상,승용,남,27세,상해없음
2020070900100594,2020년 7월 9일 20시,목요일,경기도 수원시 권선구 권선동,중상사고,0,1,8,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,19세,경상,승용,남,40세,중상
