,0
31000,"37.567846991121755, 126.80543902936273"
31001,"37.656274357726225, 127.07803974360485"
31002,"37.509327335515344, 126.84268638588745"
31003,"37.55099154836063, 127.07120216804573"
31004,"37.54813282309841, 127.0220705999491"
31005,"37.54595767105157, 126.92302483457723"
31006,"37.61364598662017, 127.06567129189649"
31007,"37.62123954217049, 127.02063542381714"
31008,"37.49119033159097, 127.00602746510803"
31009,"37.67451265294558, 127.04721188513686"
31010,"37.48636107932116, 127.05690380727671"
31011,"37.592859201680085, 126.94713048620899"
31012,"37.57627830103487, 126.89954862400003"
31013,"37.619477566697356, 127.01069691680544"
31014,"37.55680941375711, 126.84951334306044"
31015,"37.57245176940255, 126.97996363439938"
31016,"37.4767652590099, 126.91569406267986"
31017,"37.5097265330675, 127.06660624930173"
31018,"37.55527414803104, 126.92123555863557"
31019,"37.4576991611431, 126.88998349146402"
31020,"37.646447161206495, 127.02667720943097"
31021,"37.52850184286876, 127.12615816660542"
31022,"37.52120688069732, 126.87342824487727"
31023,"37.5211951734896, 126.99677906245199"
31024,"37.57721695878012, 126.89784459520764"
31025,"37.591275106612876, 127.04046231520445"
31026,"37.622363460580424, 127.04677390684384"
31027,"37.493932183342245, 126.89865644477774"
31028,"37.52128334303567, 127.01839654722579"
31029,"37.513129566514785, 126.89757125800017"
31030,"37.460645626797856, 127.0355496268761"
31031,"37.48118286692488, 127.05407635736636"
31032,"37.539445206448185, 127.11713708901632"
31033,"37.634647840750986, 127.06637556724635"
31034,"37.611018030645376, 126.91740772776863"
31035,"37.52030039861528, 126.93917011626995"
31036,"37.56017614205587, 127.04138095714829"
31037,"37.51140364658487, 126.83612732089627"
31038,"37.58166462217153, 126.89161299076618"
31039,"37.535307689500804, 127.0940242625938"
31040,"37.51846694083997, 126.87051299043074"
31041,"37.48896151032486, 126.99277689430417"
31042,"37.48702524983474, 126.81858096550557"
31043,"37.509970228923066, 127.00774272098688"
31044,"37.4779622609332, 126.95246054914752"
31045,"37.55856898212673, 127.07554517127394"
31046,"37.66488088961983, 127.03596369302852"
31047,"37.650637976925985, 127.06830020500487"
31048,"37.55957560097045, 126.8582223115024"
31049,"37.512051338145284, 126.89435900892859"
31050,"37.64353683886525, 126.9145131925898"
31051,"37.57064788034747, 126.99228529541072"
31052,"37.46015505777925, 126.98741177490113"
31053,"37.58641809301595, 127.0800417452566"
31054,"37.53373630178108, 127.00768596587412"
31055,"37.49681412884502, 126.90811316161174"
31056,"37.61575011724153, 127.07917368454342"
31057,"37.54903434811155, 127.06240025818606"
31058,"37.59749205153113, 127.00574500832337"
31059,"37.52132950354067, 127.13360000326199"
31060,"37.534332749160995, 126.99410144152482"
31061,"37.60521109758022, 126.92884468119414"
31062,"37.558419335078426, 127.03878526348022"
31063,"37.671057141446106, 127.04376824962463"
31064,"37.56552813409279, 127.06092998198187"
31065,"37.56824707683981, 126.84980784077916"
31066,"37.55931013675343, 126.96176700552341"
31067,"37.63633970340489, 127.06789117042462"
31068,"37.50473242350802, 127.03494874382733"
31069,"37.48279173302285, 126.90124271614681"
31070,"37.522937100826475, 126.87294562125493"
31071,"37.565192047884345, 127.02450971654623"
31072,"37.537312968587734, 127.09330275571888"
31073,"37.65690038639007, 127.04966518355121"
31074,"37.64467051055023, 126.91874081831035"
31075,"37.49006224065983, 126.90442950096332"
31076,"37.49066160398804, 127.0878711619448"
31077,"37.54982112098247, 127.07094821296769"
31078,"37.517808312746716, 127.04517848830743"
31079,"37.48693534002717, 127.10003070098772"
31080,"37.46958760757678, 127.12034796370926"
31081,"37.51397758438745, 126.95207336564918"
31082,"37.662905245901214, 127.04222783680767"
31083,"37.57390005054197, 127.08709194114235"
31084,"37.5696014991672, 127.0304375431968"
31085,"37.53468196561948, 127.13633598202603"
31086,"37.56000963558259, 126.84385463544638"
31087,"37.56661575931772, 126.99269026624684"
31088,"37.608832548703795, 127.02392372734765"
31089,"37.45729362698315, 127.05974503081374"
31090,"37.53716832050941, 127.0738569302885"
31091,"37.56211897611721, 127.0102799644831"
31092,"37.54048859361871, 127.12760572555821"
31093,"37.4821112626236, 127.06144649089102"
31094,"37.46097971288139, 126.90481040185134"
31095,"37.54948136472036, 127.037850377775"
31096,"37.486167747974996, 127.12665494896952"
31097,"37.53128083899054, 126.85498973181973"
31098,"37.5456796952407, 126.91271209179128"
31099,"37.62002341957667, 127.0750177134633"
31100,"37.5136031953558, 126.94646620813951"
31101,"37.529933130744304, 126.87266295185167"
31102,"37.58468363473144, 127.06767088580024"
31103,"37.52313333170477, 126.93741650856497"
31104,"37.57806247291732, 127.03275489104803"
31105,"37.610495384350074, 126.97711908084888"
31106,"37.62989283354869, 127.04087602192098"
31107,"37.546947947439165, 127.04869565446445"
31108,"37.5071355407747, 127.03372608904822"
31109,"37.618181721817926, 127.04720544293912"
31110,"37.49825631830361, 127.14653598339746"
31111,"37.48988410138798, 127.12831906274448"
31112,"37.50303894486453, 126.95420101988265"
31113,"37.62162888239558, 127.01273395951554"
31114,"37.48648217558891, 127.10373247347977"
31115,"37.52210672003753, 127.05599417105664"
31116,"37.649464930681454, 127.06950924091775"
