,0
31117,"37.5813839285846, 126.99694791217148"
31118,"37.55095897909615, 126.87181678223959"
31119,"37.56061279303677, 127.01284160587633"
31120,"37.48721024019283, 126.81831385307687"
31121,"37.57633348829174, 126.81236751131777"
31122,"37.51259014156798, 126.86577439238076"
31123,"37.597235889219974, 127.09278401988925"
31124,"37.485433453299585, 126.89333995102281"
31125,"37.616410772282, 127.03086136132742"
31126,"37.56300039783877, 127.15685935292743"
31127,"37.55886968162504, 126.9262332345275"
31128,"37.615520113348566, 126.90867656372724"
31129,"37.62770780525257, 127.07786676125596"
31130,"37.66447583235956, 127.05282962638131"
31131,"37.57324798008341, 126.82253163483378"
31132,"37.5675452594095, 126.90460966599271"
31133,"37.46119310216978, 126.92235255037899"
31134,"37.49461183424135, 127.1169160043282"
31135,"37.505651626071455, 127.05268619677895"
31136,"37.64088267102926, 127.01097554955733"
31137,"37.4834721944154, 127.1157933998035"
31138,"37.51297254031048, 126.90259073059069"
31139,"37.57572313937654, 126.99065893072009"
31140,"37.623415095718656, 127.07952042825828"
31141,"37.58868038110517, 126.91904779489784"
31142,"37.56559477738108, 127.061442417248"
31143,"37.47979012904905, 127.11697247228702"
31144,"37.48446025959437, 127.03450201194313"
31145,"37.565171965859065, 127.0140763511916"
31146,"37.55400994524111, 127.01137291393646"
31147,"37.556892974321094, 126.86332293296765"
31148,"37.488100060859395, 126.95232403148621"
31149,"37.55804964242251, 126.89318273047533"
31150,"37.57408555070045, 126.88642520801316"
31151,"37.52007908484923, 126.85289713251802"
31152,"37.52110133926076, 126.93187890848661"
31153,"37.486221280064775, 127.12472171465578"
31154,"37.553070125677785, 127.00228635561616"
31155,"37.61807771118716, 127.0470884994512"
31156,"37.52915127436352, 127.03417218545094"
31157,"37.50086291139408, 127.03707811763609"
31158,"37.495440804514836, 127.06647003434941"
31159,"37.49849764847994, 126.8927900225577"
31160,"37.56319833638786, 126.92099194245068"
31161,"37.53695197348794, 127.09375442790495"
31162,"37.57520023565826, 126.89019444762997"
31163,"37.53135458151865, 126.99670434555975"
31164,"37.46227507160634, 126.9880572555701"
31165,"37.57290928522342, 126.99753672483475"
31166,"37.483279772634596, 126.89444950494362"
31167,"37.46477198493384, 127.11004281906293"
31168,"37.51808391549689, 126.90386289917815"
31169,"37.474689283090015, 127.03224706099103"
31170,"37.586513778459846, 127.03729837201607"
31171,"37.66662484702238, 127.03427939650673"
31172,"37.55839531364456, 126.98737861535407"
31173,"37.51687852359282, 126.92869190030832"
31174,"37.48408881616464, 126.9398205554759"
31175,"37.544350185775485, 126.9457185441334"
31176,"37.61463495609611, 127.0961442204247"
31177,"37.50515524860649, 126.905051022079"
31178,"37.504855592108164, 126.95215554179852"
31179,"37.54216674494004, 126.99534411610507"
31180,"37.54782398419407, 126.86303778645186"
31181,"37.57421364511014, 127.03520650998307"
31182,"37.58143064053201, 126.87901653252243"
31183,"37.49926296205301, 127.0624905868979"
31184,"37.553389884123256, 126.87876753898423"
31185,"37.59042050985419, 127.08716189948642"
31186,"37.63362888570974, 127.01351147336672"
31187,"37.49756141600247, 126.85671394505887"
31188,"37.60355936075929, 127.0372561849847"
31189,"37.57569877071497, 127.06175656989721"
31190,"37.57036073187454, 126.98285064126566"
31191,"37.48537088646404, 127.08216936086727"
31192,"37.56218623433177, 126.85100457304789"
31193,"37.50536215330177, 127.08471883534354"
31194,"37.49001184612735, 126.92296700824053"
31195,"37.60477578553042, 127.07093913065452"
31196,"37.530129151264035, 126.8769887668543"
31197,"37.56066890474844, 126.97532683997264"
31198,"37.54612238455134, 127.14143453927309"
31199,"37.522226159718336, 126.93091610272408"
31200,"37.53686061226444, 127.00038360000673"
31201,"37.541871668772316, 126.9708484846711"
31202,"37.452520396059526, 126.92103163111247"
31203,"37.626263739329104, 127.02604071835614"
31204,"37.51172786640519, 127.0618391232651"
31205,"37.55505128418739, 126.93627694736338"
31206,"37.569025310835855, 126.9316310576472"
31207,"37.53476322609196, 126.98081811941066"
31208,"37.51523871290356, 127.01364296616082"
31209,"37.51980470396685, 126.93302464922097"
31210,"37.5806023432178, 126.89322025404395"
31211,"37.53654580203455, 127.08387753219175"
31212,"37.501159741904615, 127.01189208775824"
31213,"37.550588639747055, 126.91264679031791"
31214,"37.62523491904335, 127.07153305740864"
31215,"37.51985325188028, 127.05713269878846"
31216,"37.527106549371446, 126.90553582394391"
31217,"37.65775079455252, 127.06785059738743"
31218,"37.499377243015964, 127.14130862226449"
31219,"37.541387897894154, 127.04588993582819"
31220,"37.63761959470725, 126.93490678350769"
31221,"37.62313900945391, 127.09033008746789"
31222,"37.55277676664618, 126.91844701190873"
31223,"37.56119899673957, 126.90570483142575"
31224,"37.60134790977299, 127.01214404362872"
31225,"37.614854214198054, 127.06661755728139"
31226,"37.58637720321927, 127.02719518903994"
31227,"37.5501625228319, 127.05458973358057"
31228,"37.47717205714194, 126.8417702729939"
31229,"37.680455040473824, 127.04564616464026"
31230,"37.535970570140854, 127.13266876870053"
31231,"37.509742218511434, 126.88296089154377"
31232,"37.64132079976411, 126.93771983923477"
31233,"37.53359431451087, 127.14106978798175"
31234,"37.54043418774296, 126.84154355043663"
31235,"37.53052991875356, 126.95450067916127"
31236,"37.56925931152264, 126.98774672204408"
31237,"37.5088218164074, 127.06348643780824"
31238,"37.47902648788682, 126.8455469973158"
31239,"37.588406897057894, 127.03465427326233"
31240,"37.54231164825473, 127.02887466119115"
31241,"37.53957890493242, 126.9616273340221"
31242,"37.614325789753025, 126.93234802097129"
31243,"37.5664094006984, 126.91453013333546"
31244,"37.56676677682544, 127.04415240081764"
31245,"37.516068158813454, 126.86551160315487"
31246,"37.53643649874446, 127.0117931159134"
31247,"37.567761889493966, 127.01244430323506"
31248,"37.66656731764129, 127.03229276565088"
31249,"37.64742635876476, 127.04854186251576"
31250,"37.47726786857591, 127.12717929740165"
31251,"37.583079567676634, 127.02964426023111"
31252,"37.63063005720344, 127.0246284752632"
31253,"37.57854550573338, 126.79877967263208"
31254,"37.590519276646525, 127.05431410846991"
31255,"37.61179202843754, 127.03491714132633"
31256,"37.49269947632487, 127.01092380969105"
31257,"37.52582796268922, 126.90273396267628"
31258,"37.485630885076624, 126.9948917937268"
31259,"37.48625389532111, 126.93818960750785"
31260,"37.52708240597261, 126.85866731825031"
31261,"37.56437132889477, 126.85531308974038"
31262,"37.53926074978277, 126.82421213331378"
31263,"37.497723032624975, 126.90418521017834"
31264,"37.50077261083029, 127.08629127417765"
31265,"37.607626066132106, 126.91071914013543"
31266,"37.465854700991684, 127.02672651348759"
31267,"37.57381717818493, 127.02690645004382"
31268,"37.528070926091374, 126.86200651433197"
31269,"37.51722687032512, 127.09087060360874"
31270,"37.50354695085152, 127.021184808505"
31271,"37.4891475978156, 126.82430225944279"
31272,"37.448168796818265, 127.05478807314175"
31273,"37.48185059292519, 126.8387943402157"
31274,"37.64231997267132, 127.02372595984949"
31275,"37.55092896813359, 127.05240088662991"
31276,"37.5914192955343, 126.94171262719807"
31277,"37.582582494477705, 127.04839208840298"
31278,"37.646693326938355, 127.01769535841784"
31279,"37.549051068476004, 127.15606045481468"
31280,"37.568039194948334, 126.94780462510035"
31281,"37.501141088806904, 127.0169840918854"
31282,"37.572422270082214, 127.0719166610117"
31283,"37.603333181212, 127.03323258765408"
31284,"37.55684275561639, 126.8502524225304"
31285,"37.52968814181635, 126.8787940139124"
31286,"37.566079795185836, 126.9666126861698"
31287,"37.53669874837484, 127.0832024749219"
31288,"37.47362071597963, 126.99725977734508"
31289,"37.576963466062374, 127.02829047812588"
31290,"37.49175871367958, 126.88368898162953"
31291,"37.479331626371476, 126.92731136062042"
31292,"37.49761037668697, 126.92111133626334"
31293,"37.56693828883512, 126.8438691452853"
31294,"37.60420959935765, 127.09011309003718"
31295,"37.53862907058586, 126.93998705552652"
31296,"37.54705591205226, 127.0738369418283"
31297,"37.643606627881084, 127.06504930247578"
31298,"37.54332171798823, 127.04923177348424"
31299,"37.577857621711054, 127.06110950254359"
31300,"37.59023830864099, 126.80404258593212"
31301,"37.493281486115066, 127.1292492269294"
31302,"37.534240390359116, 127.1216805868463"
31303,"37.49145789089139, 127.03057842405082"
31304,"37.55523194471631, 127.15671457758503"
31305,"37.596513921474035, 127.08628251687348"
31306,"37.47571964296879, 126.84602327751774"
31307,"37.56796871220601, 127.01217866410839"
31308,"37.47382452543337, 127.10773618484072"
31309,"37.51052514856634, 126.96357569158872"
31310,"37.65187329277581, 127.06293115385726"
31311,"37.63190235733717, 126.93142956623556"
31312,"37.569221289514765, 126.93189593603297"
31313,"37.56039926948944, 127.0856848614246"
31314,"37.57111214153139, 127.00225658629287"
31315,"37.5604168275458, 126.84000423368211"
31316,"37.5307176681654, 126.88957540905014"
31317,"37.56343833659242, 126.83955880037173"
31318,"37.51209942357696, 126.82948796084679"
31319,"37.50596084478969, 126.85823263082699"
31320,"37.51984708851985, 126.90507232516485"
31321,"37.65726911083825, 127.01885911126772"
31322,"37.4603596661645, 126.98741815278808"
31323,"37.46829947538761, 126.88684960442717"
31324,"37.55851193342577, 127.1613668247623"
31325,"37.59032826732307, 126.99932085820075"
31326,"37.502009679043454, 127.05519158777776"
31327,"37.53130572889429, 126.87497066094095"
31328,"37.56072242295225, 127.1469941277164"
31329,"37.566132010816304, 127.177529180808"
31330,"37.54607789434404, 127.05040893885717"
31331,"37.5379950566972, 127.07401803554778"
31332,"37.574665053275886, 127.015604655489"
31333,"37.57933279126431, 126.91730029163608"
31334,"37.56940353111682, 126.91837819428363"
31335,"37.609649488733034, 127.07815987264652"
31336,"37.584401608671556, 126.91039889709407"
31337,"37.55045743466027, 127.12665053536571"
31338,"37.59130006779113, 127.01975156892357"
31339,"37.63154605511401, 127.0415787441501"
31340,"37.4678877184229, 126.93212086504747"
31341,"37.5303700865049, 126.91897524258188"
31342,"37.632434211199204, 126.9207922627041"
31343,"37.648472204993574, 127.0523738404052"
31344,"37.453847388643645, 126.90615218480053"
31345,"37.542179199617024, 126.9514484781154"
31346,"37.611183222142756, 127.06273542493012"
31347,"37.63365504673386, 126.92237421110366"
31348,"37.530661493600796, 127.12969368950361"
31349,"37.445577880154374, 127.05742198621519"
31350,"37.61898647419678, 127.02811061222097"
31351,"37.59330308994164, 127.03643044240022"
31352,"37.56862877680199, 126.84916923079685"
31353,"37.55496930426345, 126.97673730824802"
31354,"37.54622851470586, 127.0501121557071"
31355,"37.45452600408124, 126.90220578243814"
31356,"37.607232942330995, 127.01576942213235"
31357,"37.6091725861509, 127.05405321957993"
31358,"37.48302572542073, 127.02394323272014"
31359,"37.608345670592236, 126.95714754550814"
31360,"37.53420567879197, 126.90191716252303"
31361,"37.527669220378336, 126.87436111399835"
31362,"37.51662294033428, 127.11519279433158"
31363,"37.4543781509385, 127.06199847763602"
31364,"37.588133832985385, 127.0860903961448"
31365,"37.52899357913894, 126.90409286036258"
31366,"37.541298091122975, 126.94165006984758"
31367,"37.51280242640434, 126.88625262227986"
31368,"37.484459218784686, 126.89510197178723"
31369,"37.54998872478799, 127.12739558969828"
31370,"37.51469728161398, 127.03296325092731"
31371,"37.48830554070825, 126.91429659429866"
31372,"37.50201008230821, 127.11717760695717"
31373,"37.528731444647725, 127.1364243122613"
31374,"37.54853522034072, 126.91498644418786"
31375,"37.488050604101886, 126.82103230004847"
31376,"37.53035365123048, 126.9270930389621"
31377,"37.537103556637426, 126.89520628625407"
31378,"37.61137398887376, 127.03508645840711"
31379,"37.62092751411451, 127.07438696007065"
31380,"37.517661396713834, 127.10279837683248"
31381,"37.53068925392512, 126.84770635559808"
31382,"37.66291595883134, 127.03762898171013"
31383,"37.55710740871832, 126.93166193845056"
31384,"37.55505321177854, 127.1740417629681"
31385,"37.513154529227464, 126.89706727493437"
31386,"37.59411223626608, 127.02478706378115"
31387,"37.62801037905437, 127.04838369990712"
31388,"37.601127461092695, 126.97835307510482"
31389,"37.49320816566083, 127.14430200552705"
31390,"37.6055927278055, 127.1086447806708"
31391,"37.4718058983491, 126.93423798314122"
31392,"37.645354021894086, 127.07103849368953"
31393,"37.47708316736578, 126.93630494853255"
31394,"37.4897953559575, 127.1093349942449"
31395,"37.52983655386014, 127.12283623065525"
31396,"37.51115830272791, 126.84821719338741"
31397,"37.567801165576945, 126.81147665601043"
31398,"37.486649528675514, 126.83911021092692"
31399,"37.659066206034524, 127.06462966350973"
31400,"37.47902677987465, 126.8454056715141"
31401,"37.577031109355, 126.81244802278023"
31402,"37.51119457652146, 127.10974268046658"
31403,"37.57947796713552, 127.07426292777568"
31404,"37.53987082994692, 127.01145685359444"
31405,"37.601016165321994, 127.01400768767742"
31406,"37.55833886080717, 127.03875453045892"
31407,"37.53829326056616, 127.09056353830788"
31408,"37.54496545012674, 126.93417778271252"
31409,"37.57717318011084, 126.99705221589319"
31410,"37.55967897921201, 126.97107485244629"
31411,"37.53324121492563, 126.91001446946855"
31412,"37.58437844409195, 127.08369579617072"
31413,"37.53978306755321, 126.83390991108878"
31414,"37.591718731151744, 127.0467372860636"
31415,"37.61551987208535, 127.00871810294191"
31416,"37.63403292555348, 127.01512942989694"
31417,"37.49215077389016, 127.11879722214017"
31418,"37.434919633141234, 127.0659592583084"
31419,"37.527942758260316, 127.04055262041328"
31420,"37.49095023909389, 126.82730527974462"
31421,"37.571210192227404, 126.99190725235582"
31422,"37.61081123873981, 127.05725779455705"
31423,"37.49565269463531, 127.14538158570119"
31424,"37.507540476634134, 127.03391838456551"
31425,"37.57150130113386, 126.90164469729825"
31426,"37.61090680900026, 126.92970276296383"
31427,"37.52500525683096, 127.05737518058247"
31428,"37.565944875516266, 126.90246406365846"
31429,"37.49865880655859, 126.95146457112735"
31430,"37.61449976245038, 127.09570339309016"
31431,"37.50400433485882, 126.8527930583972"
31432,"37.51743362543181, 126.86452179636258"
31433,"37.513809831021085, 127.01204176171441"
31434,"37.53636785138821, 127.01182229129712"
31435,"37.601714931023594, 127.08728176369812"
31436,"37.68889262784205, 127.0455286881307"
31437,"37.56812967505159, 127.05706365817976"
31438,"37.524157765181585, 126.92834593066215"
31439,"37.544239567660824, 126.95118038898896"
31440,"37.48577991059863, 126.95603363365028"
31441,"37.54759651740729, 126.92523834250252"
31442,"37.48347111272268, 127.11579407640892"
31443,"37.50100446262583, 127.02591376121018"
31444,"37.487260192308895, 126.89763030154954"
31445,"37.5575605316629, 126.97703896219458"
31446,"37.554552870897055, 127.08628904869146"
31447,"37.62017217483202, 127.05465812588038"
31448,"37.5325392788557, 126.91055180260797"
31449,"37.51881029281756, 126.91231994697523"
31450,"37.567560486457594, 126.81693233295456"
31451,"37.57683711931969, 126.95557029226175"
31452,"37.555675857456286, 127.04976791266435"
31453,"37.65688358836843, 127.03935205339992"
31454,"37.47011274104205, 127.1246645890487"
31455,"37.53733303433668, 127.14603922769959"
31456,"37.46684457429535, 126.95772724426857"
31457,"37.57184373468309, 127.03586559998742"
31458,"37.613725372055086, 127.1039982055786"
31459,"37.53184455674537, 126.99629120015831"
31460,"37.57241214295567, 126.99167994815524"
31461,"37.56801194366808, 126.90798339841871"
31462,"37.570871428256005, 126.81654718640023"
31463,"37.639493836883574, 126.91770957436962"
31464,"37.48602157900859, 126.89632817051928"
31465,"37.55835360636144, 127.04057160558449"
31466,"37.496727912762125, 126.86777759169259"
31467,"37.54449219501844, 126.95477586328161"
31468,"37.51515111956073, 127.10680078749584"
31469,"37.55694029536351, 127.17118866451914"
31470,"37.44358070530548, 126.90346166814484"
31471,"37.483847071247766, 126.92547656591866"
31472,"37.501085607770015, 126.84498759461792"
31473,"37.64103907879882, 127.06609215781103"
31474,"37.45547286881936, 127.0638467389585"
31475,"37.596412654653186, 127.02261471788752"
31476,"37.46713725807144, 127.09420090305474"
31477,"37.53806729837123, 127.04166445009764"
31478,"37.591991320872374, 126.91491621451678"
31479,"37.581250763359975, 127.08319108808867"
31480,"37.60028015600927, 126.9223694251381"
31481,"37.61498214563709, 127.08887178304855"
31482,"37.59247140019556, 126.94499633618652"
31483,"37.504960650775985, 126.93898602669206"
31484,"37.586764217026214, 127.08017619446865"
31485,"37.55157844737869, 127.06918990308505"
31486,"37.491318120799164, 127.00552732216435"
31487,"37.57875872817275, 127.06860238609484"
31488,"37.55479952416587, 127.13667966342824"
31489,"37.53524807861656, 126.89910580614055"
31490,"37.54352530082699, 127.01376538059547"
31491,"37.47247742247573, 126.90327566870012"
31492,"37.508717815348035, 126.90586451403033"
31493,"37.55258957554496, 126.91836790772058"
31494,"37.50575792813469, 126.90739240797846"
31495,"37.637223015497824, 127.01732724142921"
31496,"37.546225009214446, 127.0446531154126"
31497,"37.55679791735868, 126.94859750801363"
31498,"37.50047527670241, 126.88977323879898"
31499,"37.64522645155417, 126.92142689518165"
31500,"37.5539851082772, 126.90195909063362"
31501,"37.502877168334265, 127.04282905413625"
31502,"37.502566965000035, 127.09831089623445"
31503,"37.49359457533163, 126.98279894761981"
31504,"37.475853243022925, 126.89872746357312"
31505,"37.4831078150418, 127.1287127098976"
31506,"37.61055352839516, 127.09598661764743"
31507,"37.53929965724152, 126.94432797850908"
31508,"37.440458405183875, 126.9031141437117"
31509,"37.47148885623357, 127.10670639044503"
31510,"37.454684325610955, 126.90011668387217"
31511,"37.575788883925576, 126.92634238319138"
31512,"37.51027721607586, 126.90464054145261"
31513,"37.56793780551954, 126.98739462310729"
31514,"37.564945290708195, 127.02226325079194"
31515,"37.55619392342614, 127.08809317959349"
31516,"37.53137224553284, 126.88657603619765"
31517,"37.53231418106556, 126.96163256474523"
31518,"37.48666040180981, 127.05686966943709"
31519,"37.494609088492005, 127.04001978881658"
31520,"37.640151826639, 127.02677552064378"
31521,"37.50037048963998, 127.11130245354052"
31522,"37.509872203545534, 126.9510680026172"
31523,"37.505883590157474, 127.13200782712617"
31524,"37.499382045312494, 126.90701067442738"
31525,"37.558826346624265, 126.86527758164424"
31526,"37.48577027604638, 126.89615892102725"
31527,"37.559093356160425, 126.96191395285423"
31528,"37.56957397617548, 127.00659053778291"
31529,"37.53702206668628, 126.8868237505028"
31530,"37.54574189257843, 127.16674764458607"
31531,"37.48139346009452, 126.91251707902668"
31532,"37.495807089436035, 126.84364326373542"
31533,"37.570039649282165, 127.08624053399588"
31534,"37.51058699706369, 126.89847888342716"
31535,"37.51601550741625, 126.86536819390518"
31536,"37.4935931421461, 127.07973266333431"
31537,"37.558076768117225, 127.02444749867061"
31538,"37.50836504153836, 127.0118682520742"
31539,"37.5839202620901, 126.92443111905456"
31540,"37.50267747128536, 126.94002411954716"
31541,"37.590576765481565, 127.07800592470302"
31542,"37.48290632687429, 127.12671583339582"
31543,"37.57251171896181, 126.80603755247327"
31544,"37.44530394069118, 127.05743055096303"
31545,"37.47486374573265, 126.90336357385803"
31546,"37.552488992445056, 127.02560372834276"
31547,"37.583447147083994, 126.88204868744138"
31548,"37.54191299529519, 127.09852418611537"
31549,"37.48510992743444, 127.05782908639951"
31550,"37.52824324402213, 127.12642295611892"
31551,"37.487749576269074, 127.01270601728942"
31552,"37.50424073240528, 127.01509073115722"
31553,"37.6407835622669, 127.01704781381792"
31554,"37.566753539718775, 126.99789429995087"
31555,"37.540206498338655, 127.00169467371295"
31556,"37.671220437748204, 127.04109468937811"
31557,"37.56732387701807, 126.90960320781849"
31558,"37.51291047432481, 127.10010306332588"
31559,"37.529138330325765, 126.96972623482908"
31560,"37.46558410370836, 127.1014676565752"
31561,"37.5970209954036, 127.02249083397521"
31562,"37.49204459604685, 127.12917437504072"
31563,"37.51067595785979, 126.86069050563482"
31564,"37.47216101862618, 126.88237610603028"
31565,"37.493472849493564, 127.0017486344942"
31566,"37.57890759715675, 127.03039741778197"
31567,"37.521057909649215, 126.87079779455148"
31568,"37.526072879385886, 126.87400753296126"
31569,"37.53814001171781, 127.12343348929232"
31570,"37.62940080522817, 127.04647585452977"
31571,"37.571422947843786, 127.05018262766322"
31572,"37.55549113707581, 127.15682708589516"
31573,"37.5478084729556, 126.92277964411662"
31574,"37.609240156450475, 127.03013440222395"
31575,"37.51991094167966, 126.88951727859597"
31576,"37.60766674082952, 127.0234683787312"
31577,"37.56492932843568, 126.84540320828599"
31578,"37.563581836328765, 126.85688939631743"
31579,"37.56792724016384, 126.91815199230302"
31580,"37.48397638536488, 126.97722513227701"
31581,"37.528015481827914, 127.05305299172421"
31582,"37.50776217650565, 126.96140634171017"
31583,"37.600149460436036, 127.01365639417384"
31584,"37.502134788779344, 127.14094370285301"
31585,"37.60563512652526, 127.09551181331976"
31586,"37.46729873814784, 127.04123950831472"
31587,"37.51728345679691, 126.94526426381518"
31588,"37.63033218679015, 126.91927996323179"
31589,"37.59814470265614, 126.9251467340989"
31590,"37.59047537207327, 127.01721210773596"
31591,"37.47016303416235, 126.89505421234387"
31592,"37.52867710952186, 127.14545017611321"
31593,"37.56122023738459, 127.18017356248313"
31594,"37.49792325993204, 126.8936049222328"
31595,"37.585056345030644, 127.00094678694133"
31596,"37.55953775612454, 126.83980971246355"
31597,"37.54948618839195, 126.91311125606443"
31598,"37.56580867384515, 127.03923112709356"
31599,"37.52483935177049, 126.89203620792469"
31600,"37.64149350812242, 127.11237632343459"
31601,"37.616750956380194, 127.00850791302538"
31602,"37.57231956555049, 126.96008943710072"
31603,"37.48553706277608, 126.96820204429599"
31604,"37.52248681830495, 126.87611281846966"
31605,"37.49468032946706, 126.90591914170706"
31606,"37.51946220057925, 126.92087851527427"
31607,"37.467459313150606, 127.03485601113978"
31608,"37.50150590987379, 127.05399826954299"
31609,"37.560832411870116, 126.98438566947338"
31610,"37.54686976986896, 127.04878791441557"
31611,"37.4709460960089, 127.09228369791724"
31612,"37.60054422234598, 127.10857699453832"
31613,"37.529357136323554, 126.91238732704673"
31614,"37.547177551038565, 127.03672812301953"
31615,"37.48855326663019, 127.07399170665735"
31616,"37.66025029807527, 127.02767717951993"
31617,"37.63241979893492, 126.92103487677873"
31618,"37.47739054403625, 126.88858698418244"
31619,"37.56996408848804, 127.0156938284113"
31620,"37.61386173576416, 126.91184395181483"
31621,"37.48871649698309, 126.94631399319996"
31622,"37.543277714832215, 126.92887846400657"
31623,"37.492124283484706, 126.83397772401455"
31624,"37.524819084558736, 126.91849045274074"
31625,"37.54094441658157, 127.09570845595104"
31626,"37.619536446180604, 127.06330537219044"
31627,"37.484630671156545, 127.0577954751304"
31628,"37.54791890930976, 127.07050913898944"
31629,"37.616919208158954, 127.00336131609748"
31630,"37.575841094675226, 126.97395135639049"
31631,"37.50598267244162, 127.1362288367385"
31632,"37.5801591712093, 127.0021211046755"
31633,"37.49707058534364, 127.14787978668377"
31634,"37.65133143315927, 127.0611919939703"
31635,"37.52938444538755, 126.99122978691705"
