,0
478,"37.66647789717875, 127.03821156691218"
479,"37.52801770584952, 127.12695303164483"
480,"37.64819730405373, 127.04409912306434"
481,"37.49743342332884, 127.14038839598467"
482,"37.59730750966613, 127.0682253836034"
483,"37.465017903130054, 127.02566497879229"
484,"37.65435419255978, 127.06036948690597"
485,"37.49296936185975, 127.14589486376664"
486,"37.5075788538471, 127.05932825782195"
487,"37.48053646581809, 126.881435413811"
488,"37.50139832103682, 127.10813960287541"
489,"37.576201790612764, 126.89944090924628"
490,"37.55294468172756, 127.00250297385357"
491,"37.47746555921288, 126.9127839824295"
492,"37.519131845350934, 126.91272771806157"
493,"37.45010682521105, 126.91398734543637"
494,"37.56625644065152, 126.94686955785056"
495,"37.61063139608334, 126.92962197272018"
496,"37.601745336305186, 126.92046437489967"
497,"37.63627210671244, 127.06832525349708"
498,"37.47613144203604, 126.84075957796556"
499,"37.57546524185563, 126.97912301762702"
500,"37.529922510188435, 126.83671886601341"
501,"37.54661653995034, 126.97823032221906"
502,"37.55997959994083, 126.93667903380954"
503,"37.4898066928839, 127.10920942242265"
504,"37.565619274586275, 126.90177246218916"
505,"37.654791239175054, 127.04082058752498"
506,"37.64707229358373, 127.00945692460358"
507,"37.53984970326205, 127.01143305699999"
508,"37.58157030985413, 127.0551259957293"
509,"37.48903207687845, 127.01649744339396"
510,"37.60828238689959, 127.10084125264822"
511,"37.50842215693545, 126.96794691382561"
512,"37.61757245553828, 127.09038430856573"
513,"37.636693415053315, 127.04102001620602"
514,"37.61116439771493, 127.0627941621253"
515,"37.52540115126222, 126.87776503481969"
516,"37.53731088214957, 127.08066774713107"
517,"37.527855527581764, 127.04039542619748"
518,"37.56080384944017, 127.08757475013775"
519,"37.48348745945542, 126.89879374855087"
520,"37.569569414637186, 127.04882291112634"
521,"37.537401180524114, 126.87255315979925"
522,"37.56091295289656, 127.03547438890291"
523,"37.6130104991941, 127.10117082897199"
524,"37.57486416469436, 127.08530873857859"
525,"37.476702738457746, 126.91558521137019"
526,"37.59935057248603, 126.91589077312605"
527,"37.491285845912, 127.07299369090774"
528,"37.61116939413625, 126.92973742795076"
529,"37.5700058186905, 126.97274036824552"
530,"37.52004237866625, 126.87035335366927"
531,"37.563134675684864, 126.84064544594364"
532,"37.5733741004077, 126.81387624732754"
533,"37.56014083449995, 126.92375239340535"
534,"37.514213884322224, 127.03074368641859"
535,"37.49273784833258, 126.94659327465166"
536,"37.57008952039094, 126.91345478939934"
537,"37.49461691625299, 126.90561899675066"
538,"37.48201319594812, 127.04276016023938"
539,"37.64221668682123, 127.03012951303651"
540,"37.49908093223811, 126.91264599166077"
541,"37.61454870611555, 127.08173317142659"
542,"37.59316949267188, 126.9995810916868"
543,"37.57045667573837, 126.91279719424622"
544,"37.496253704318256, 127.06958956948708"
545,"37.54511305307268, 127.0167369247328"
546,"37.488388399104785, 127.05284735819343"
547,"37.543929995462214, 127.05899862370826"
548,"37.55465635322837, 126.95727503394909"
549,"37.52069360140141, 126.9228246832264"
550,"37.659950449425594, 127.04978980522718"
551,"37.538916810760114, 127.07451657027224"
552,"37.472423519310134, 126.88233223484794"
553,"37.549516716882366, 126.97162205794733"
554,"37.56565366434176, 126.81196041911939"
555,"37.64490120651653, 127.0403682030107"
556,"37.552300983427095, 127.12821884936452"
557,"37.66197206619098, 127.0276685107808"
558,"37.51199703074363, 126.8641021594701"
559,"37.561953990749075, 127.06102678713023"
560,"37.53248169549761, 127.07842162969428"
561,"37.63948191758158, 127.02736566165036"
562,"37.521996838864055, 126.92754520792296"
563,"37.49943829315393, 127.08073926109782"
564,"37.48402690888348, 126.9019594081419"
565,"37.5360534097158, 126.82799265831554"
566,"37.65448577273568, 127.07795653501876"
567,"37.52566007592643, 127.1472774740352"
568,"37.48365847101251, 126.9260382414173"
569,"37.63540649649041, 127.10599622737374"
570,"37.53896275110704, 127.06203219151267"
571,"37.523738496178225, 126.96981769130146"
572,"37.532327303635014, 127.12423392341861"
573,"37.499803513351246, 126.92054998489914"
574,"37.48765045732607, 126.88889190553856"
575,"37.58885264004296, 127.00592004249418"
576,"37.65793190202249, 127.03278629992106"
577,"37.4893000740732, 126.88436064363563"
578,"37.53073732887864, 126.84929226944399"
579,"37.56678183572801, 127.06221115597043"
580,"37.552204788289465, 127.01282782130033"
581,"37.568299837655545, 127.08622882891105"
582,"37.57254976002835, 127.01410116818269"
583,"37.614228466965265, 127.07689807322828"
584,"37.617236737050476, 127.02724287101942"
585,"37.549221736904684, 127.15279405556812"
586,"37.617317050581924, 127.02736286452834"
587,"37.48721750638174, 126.9108746411758"
588,"37.51464473420086, 127.11508765746774"
589,"37.496547000603144, 127.05275184866618"
590,"37.615990694850616, 126.91385651302345"
591,"37.48548914473385, 127.08316367466905"
592,"37.621154568252365, 127.02066001724734"
593,"37.512215448607044, 127.10821348058263"
594,"37.48225620637686, 126.94628014626706"
595,"37.53937073996542, 126.8982147249668"
596,"37.52506682671533, 127.12525397874543"
597,"37.50408242486622, 126.94411988451913"
598,"37.57141509108086, 126.90453331680982"
599,"37.642410593834896, 127.0704896890008"
600,"37.51354909274044, 126.93858844722368"
601,"37.53271185976493, 126.87128179045264"
602,"37.520144019822254, 127.10777792976623"
603,"37.4575209661586, 126.89002104483758"
604,"37.64132861244631, 127.07648555241614"
605,"37.538195527057454, 126.96643539024367"
606,"37.5223735028062, 126.8432352583256"
607,"37.58298769482372, 127.0418536556085"
608,"37.54492083689569, 127.13045874001605"
609,"37.55039770686634, 126.95494112347396"
610,"37.58375848098014, 126.97081367916448"
611,"37.58400834752044, 126.94055115176738"
612,"37.56094155070074, 126.98800611095001"
613,"37.565470559952956, 126.91141933540659"
614,"37.552264620318475, 127.11133400262399"
615,"37.53542228726588, 126.9990797970647"
616,"37.500245199006685, 126.90868757090233"
617,"37.4922205078905, 127.1564712797055"
618,"37.58140003121919, 127.05512358056689"
619,"37.556963415086024, 126.92201844804376"
620,"37.50858635079545, 127.10368227848063"
621,"37.56486000614425, 126.84557657707346"
622,"37.50295292799603, 126.94786017968019"
623,"37.57024317822967, 126.90335667799017"
624,"37.58142937034602, 126.90457321453358"
625,"37.47693917505586, 126.90903006180011"
626,"37.57620327626331, 127.04766381467579"
627,"37.54761230185036, 126.86875792421364"
628,"37.579453075340716, 127.04246815835108"
629,"37.50478348831603, 127.06393095189165"
630,"37.564596302931044, 127.00279888771203"
631,"37.540103805692226, 127.0627451162291"
632,"37.52356678342835, 126.88121633660077"
633,"37.641533641270975, 127.04066001095963"
634,"37.66289068527074, 127.04673983239364"
635,"37.52515690040999, 126.85029318479988"
636,"37.6654640700775, 127.07603109509832"
637,"37.629203282811666, 127.01786745656717"
638,"37.54820972017403, 126.98439067317055"
639,"37.59599198620474, 127.00528218042089"
640,"37.56313098619498, 126.92132817288724"
641,"37.52381725731066, 127.04489041920996"
642,"37.566767644777386, 127.17728752770189"
643,"37.5452611807522, 126.91943419343384"
644,"37.46503329816743, 127.1016859991509"
645,"37.55347274247707, 127.11178251666912"
646,"37.49284172622908, 126.92497915410272"
647,"37.487960062236546, 126.92188455390867"
648,"37.474562072953425, 126.95288227289667"
649,"37.49621415361317, 126.84442927500855"
650,"37.521574670823064, 126.96474341138568"
651,"37.454024285444085, 127.0598634643777"
652,"37.50098687633715, 127.03666315460144"
653,"37.45937378281537, 127.0815167749143"
654,"37.55193824799018, 126.91917632907962"
655,"37.619188972791875, 126.91541237971087"
656,"37.48700562376662, 126.94674242772675"
657,"37.664706745763596, 127.04299604926567"
658,"37.55648239652892, 126.90041959454216"
659,"37.48803031519705, 126.95225041941106"
660,"37.49770241729439, 126.82928025668545"
661,"37.46688438235223, 127.13265702555215"
662,"37.57526329146571, 126.98299349754583"
663,"37.55421504155138, 127.07497604314213"
664,"37.535504914104365, 127.0938567017961"
665,"37.46770317659731, 126.98676757165258"
